Name,ra,dec,teff,eteff,logg,elogg,F,eF,vsini,evsini,RHKp,dRHKp,vsinflag,snr,RVflag,metflag
BD-122361,122.449817,-12.903324999999999,4826.6,50.0,2.686,0.098,-0.07,0.043,6.084,0.537,5.723959578067019E-6,3.703801931458566E-7,0,138.8208062575636,0,0
BD-122371,122.5639,-12.844745,5017.0,50.0,2.891,0.089,-0.01,0.042,5.077,0.472,7.263232298746738E-6,1.077943211541806E-6,0,108.2625,0,0
BD-12588,46.053239,-12.368975,4952.1,50.0,2.742,0.077,-0.24,0.043,3.995,0.528,7.785672068607904E-6,7.235951595694655E-7,0,87.71659620619121,0,0
BD-132130,114.28866,-13.90648,4631.1,50.0,2.353,0.086,-0.08,0.044,4.291,0.583,3.993984254011273E-6,3.253398182301227E-7,0,229.14120217190737,0,0
BD-136424,353.130138,-12.26299,4585.3,300.0,2.514,0.464,-1.01,0.087,2.0,0.0,4.519874970656782E-4,1.999743122455527E-4,1,166.68942031463064,0,0
BD-141137,81.853921,-14.27601,5285.9,50.0,4.407,0.05,-0.08,0.045,2.81,0.208,9.476819922294946E-6,2.744291512626686E-7,0,617.9826770356607,0,0
BD-156276,342.0318385,-14.494245,5433.9,50.0,4.427,0.048,-0.03,0.045,2.84,0.38,1.4083238661593569E-5,3.7769961865817916E-7,0,444.2598721656807,0,0
BD-15705,60.567425,-15.35857,4969.9,50.0,4.396,0.089,-0.2,0.052,5.999,0.233,1.2971274071968677E-4,4.573178083133083E-6,0,214.30755702961108,0,0
BD-17751,58.478462,-16.95402,5946.1,50.0,4.501,0.043,-0.14,0.05,3.791,0.269,1.0744254980616706E-5,3.0933915823356473E-7,0,311.47710685861796,0,0
BD-184532,261.9462475,-18.581075,6808.0,406.415,3.95193,0.117334,0.0,0.5,2.0,0.0,9.872268324616235E-5,3.7467494662165625E-5,1,46.1534424501575,0,1
BD-184705,269.2195,-19.00044,4913.1,50.0,2.442,0.11,-0.06,0.044,5.389,0.412,4.063788586955313E-6,3.837250506178686E-7,0,87.2266058564173,0,0
BD-184710,269.2646785,-18.986745,4978.1,50.0,2.488,0.098,-0.06,0.043,5.427,0.569,1.6860060466019928E-6,3.6054904966259144E-7,0,121.8,0,0
BD-194086,230.480068,-20.23151,4872.2,50.0,4.451,0.08,-0.12,0.044,4.325,0.208,6.300763412015614E-5,3.1292600318600364E-6,0,507.74842778683217,0,0
BD-194173,234.858178,-20.19872,6478.9,50.0,4.554,0.063,-0.03,0.064,7.373,0.443,4.691796470704181E-6,1.1521312241449546E-6,0,164.4149002121301,0,0
BD-194341,243.55802799999998,-19.658755,4964.7,50.0,0.524,0.01,-2.23,0.1,2.0,0.0,3.8421407596635646E-5,4.154822953935749E-6,1,90.85565704273273,0,0
BD-194582,259.457175,-19.25278,6617.0,145.115,3.87416,0.0901473,0.0,0.5,2.0,0.0,9.351236503398459E-4,0.03063831947160206,1,63.46813803361924,0,1
BD-202976,144.87500849999998,-20.98218,6179.1,50.0,4.463,0.058,0.16,0.048,6.176,0.308,7.922328861188264E-6,1.6400733990356322E-7,0,672.2735490636552,0,0
BD-20761,60.386988,-20.45032,5337.4,50.0,4.553,0.063,-0.06,0.045,4.577,0.325,5.814945564276241E-5,1.9292936923900247E-6,0,120.96194328853159,0,0
BD-21521,43.8137445,-20.78114,5683.8,50.0,4.387,0.052,-0.08,0.047,3.284,0.247,9.652688016207739E-6,6.294292588698322E-7,0,95.82499999999999,0,0
BD-221092,80.68157,-21.90462,5628.4,50.0,4.413,0.076,-0.13,0.048,2.859,0.476,-8.40039002933137E-7,2.4837735314910945E-6,0,37.09475479543346,0,0
BD-22167,14.489457,-21.419475,6208.7,50.0,4.139,0.063,-0.05,0.052,4.985,0.32,4.308348547699144E-6,7.079213242046272E-7,0,165.1447887461182,0,0
BD-225866,333.661112,-21.6982,8998.5,50.0,4.885,0.01,0.0,0.1,2.0,0.0,2.1335157390712936E-4,8.65813395753488E-6,1,49.9924494298889,0,1
CD-2312854,245.44049,-23.54687,5356.7,50.0,4.428,0.081,0.07,0.044,3.663,0.244,3.107196391302299E-5,1.042864851268752E-6,0,66.62622106448282,0,0
CD-236099,116.215053,-23.82962,5381.1,69.846,3.178,0.162,-0.0,0.053,5.644,0.562,-1.1872693061428275E-4,0.0025238216852371703,0,22.65,0,0
CD-2412030,230.886954,-25.36921,5731.9,50.0,4.467,0.047,-0.02,0.046,3.467,0.287,1.972292746352628E-5,4.948738492441921E-7,0,164.9803646325396,0,0
CD-2510553,222.38769,-26.10419,5838.5,300.0,4.819,0.6,-0.1,0.05,6.403,1.59,5.0965067155803004E-5,7.881088538765147E-6,0,49.150000000000006,0,0
CD-2514757,306.329275,-24.810879999999997,5501.6,50.0,4.505,0.051,-0.19,0.048,2.565,0.345,1.1653584313014659E-5,5.347123437175698E-7,0,94.12769768894925,0,0
CD-2516399,349.862088,-24.88414,6146.5,72.362,4.619,0.126,-0.02,0.056,3.688,0.486,1.4484301062473507E-5,2.310776510410378E-6,0,27.75,0,0
CD-251737,61.943711,-25.208345,5894.6,50.0,4.19,0.072,0.35,0.043,5.529,0.283,1.806445284520378E-6,8.761605250569053E-7,0,81.65,0,0
CD-252180,75.81149,-25.37805,4996.4,50.0,3.55,0.094,0.1,0.043,4.049,0.379,4.214836373278247E-5,2.9030325615061325E-6,0,133.23898713330004,0,0
CD-252913,91.33367,-25.09376,5764.9,300.0,2.824,0.6,-0.38,0.115,17.227,1.178,3.213056833599578E-5,1.0412680600775695E-5,0,53.15,0,0
CD-254246,108.546469,-25.77088,5002.7,50.0,2.775,0.092,-0.3,0.043,4.297,0.496,6.643783622241991E-6,5.564718690257806E-7,0,62.931179341669214,0,0
